team_a,team_b,map,winner_side,winner_bot,rounds
alice,bob,Jail,A,alice,261
bob,alice,Jail,B,alice,374
alice,bob,TheBest,B,bob,547
bob,alice,TheBest,B,alice,1338
bob,alice,SandyBeach,B,alice,307
alice,bob,SandyBeach,A,alice,399
alice,bob,defensetower,A,alice,517
bob,alice,defensetower,B,alice,914
bob,alice,yearofthesnake,B,alice,596
alice,bob,Thirds,A,alice,437
alice,bob,yearofthesnake,B,bob,1603
alice,bob,roads,A,alice,591
bob,alice,Thirds,B,alice,1054
bob,alice,roads,B,alice,822
alice,bob,sunrise,A,alice,2000
bob,alice,sunrise,B,alice,866
alice,bob,MoneyTower,A,alice,826
bob,alice,MoneyTower,A,bob,1044
alice,bob,lighthouse,A,alice,2000
bob,alice,lighthouse,B,alice,1236
bob,alice,Oasis,B,alice,545
bob,alice,DonkeyKong,A,bob,2000
alice,bob,Oasis,A,alice,1595
alice,bob,DonkeyKong,B,bob,2000
alice,bob,CastleDefense,B,bob,785
bob,alice,CastleDefense,B,alice,623
alice,bob,leavemealone,A,alice,1015
bob,alice,leavemealone,B,alice,924
alice,bob,Bread,A,alice,293
bob,alice,Bread,B,alice,514
alice,bob,Racetrack,B,bob,532
bob,alice,Racetrack,A,bob,328
bob,alice,box,B,alice,464
alice,bob,box,B,bob,2000
alice,bob,boxofchocolates,B,bob,2000
bob,alice,boxofchocolates,B,alice,2000
bob,alice,Restart,A,bob,595
alice,bob,Restart,B,bob,1756
alice,bob,Parking_lot,A,alice,670
alice,bob,UnderTheSea,B,bob,1497
bob,alice,Parking_lot,B,alice,2000
bob,alice,UnderTheSea,B,alice,1051
alice,bob,gridworld,A,alice,2000
bob,alice,gridworld,A,bob,2000
alice,bob,rain,A,alice,638
alice,bob,giver,B,bob,1069
bob,alice,giver,A,bob,1206
bob,alice,rain,A,bob,1586
alice,bob,galaxy,B,bob,844
bob,alice,galaxy,B,alice,369
alice,bob,starburst,B,bob,355
bob,alice,starburst,B,alice,430
alice,bob,Gears,B,bob,2000
alice,bob,DefaultSmall,A,alice,213
bob,alice,Portal,B,alice,816
alice,bob,Portal,A,alice,963
bob,alice,Gears,A,bob,2000
bob,alice,DefaultSmall,B,alice,264
alice,bob,fix,A,alice,484
bob,alice,fix,A,bob,530
alice,bob,BunnyGame,B,bob,1649
bob,alice,BunnyGame,B,alice,864
bob,alice,SMILE,B,alice,676
alice,bob,Dominoes,A,alice,779
bob,alice,Dominoes,B,alice,313
alice,bob,catface,B,bob,420
bob,alice,catface,B,alice,574
alice,bob,Fossil,A,alice,674
alice,bob,SMILE,A,alice,2000
bob,alice,Fossil,B,alice,2000
alice,bob,Piglets2,B,bob,1003
bob,alice,Piglets2,B,alice,1282
alice,bob,Snowman,A,alice,176
bob,alice,Snowman,A,bob,2000
alice,bob,Castle,A,alice,243
bob,alice,Castle,A,bob,1032
alice,bob,Bunny,A,alice,1099
bob,alice,Bunny,A,bob,1049
alice,bob,UglySweater,A,alice,814
alice,bob,windmill,B,bob,640
bob,alice,UglySweater,A,bob,658
bob,alice,windmill,A,bob,746
bob,alice,sierpinski,A,bob,539
alice,bob,sierpinski,A,alice,1337
alice,bob,SaltyPepper,B,bob,1070
bob,alice,SaltyPepper,A,bob,767
alice,bob,Snowglobe,B,bob,627
alice,bob,Brat,A,alice,502
bob,alice,Snowglobe,B,alice,1161
bob,alice,Brat,B,alice,1147
alice,bob,Rose,A,alice,358
bob,alice,Rose,A,bob,590
bob,alice,Paintball,B,alice,420
alice,bob,Paintball,B,bob,942
alice,bob,Barcode,A,alice,310
bob,alice,HungerGames,A,bob,564
alice,bob,HungerGames,B,bob,931
bob,alice,Mirage,A,bob,532
alice,bob,FourCorners,A,alice,644
bob,alice,Barcode,A,bob,2000
alice,bob,Mirage,A,alice,1146
bob,alice,FourCorners,B,alice,333
alice,bob,DefaultLarge,B,bob,609
