team_a,team_b,map,winner_side,winner_bot,rounds
bob,alice,Filter,A,bob,577
alice,bob,Filter,B,bob,836
alice,bob,Snowman,B,bob,892
bob,alice,Snowman,A,bob,515
bob,alice,Mirage,A,bob,394
alice,bob,yearofthesnake,B,bob,643
alice,bob,sayhi,B,bob,1114
alice,bob,DefaultMedium,B,bob,366
bob,alice,sayhi,A,bob,1378
alice,bob,Mirage,B,bob,1571
bob,alice,DefaultMedium,A,bob,568
bob,alice,yearofthesnake,A,bob,1484
alice,bob,starburst,B,bob,427
bob,alice,SaltyPepper,A,bob,571
alice,bob,SaltyPepper,B,bob,501
bob,alice,starburst,A,bob,411
bob,alice,DefaultSmall,A,bob,799
alice,bob,Crab,B,bob,858
bob,alice,Crab,A,bob,957
alice,bob,DefaultSmall,B,bob,2000
bob,alice,fix,A,bob,494
alice,bob,Circuit,B,bob,877
alice,bob,fix,B,bob,1759
alice,bob,Jail,B,bob,1205
bob,alice,Jail,B,alice,434
bob,alice,SMILE,A,bob,831
bob,alice,Circuit,A,bob,1777
alice,bob,Leaf,B,bob,474
bob,alice,Leaf,A,bob,639
alice,bob,Castle,B,bob,571
alice,bob,SMILE,B,bob,2000
bob,alice,Castle,A,bob,339
bob,alice,leavemealone,A,bob,615
alice,bob,leavemealone,B,bob,683
bob,alice,maze,B,alice,2000
alice,bob,maze,A,alice,2000
alice,bob,DonkeyKong,B,bob,616
bob,alice,DonkeyKong,A,bob,771
alice,bob,Money,B,bob,606
bob,alice,galaxy,A,bob,1759
bob,alice,Money,A,bob,547
alice,bob,galaxy,B,bob,1424
bob,alice,TargetPractice,A,bob,356
alice,bob,Justice,B,bob,573
alice,bob,TargetPractice,B,bob,1509
bob,alice,Justice,A,bob,496
bob,alice,Barcode,A,bob,416
bob,alice,mit,A,bob,1283
alice,bob,Barcode,B,bob,1132
alice,bob,mit,A,alice,2000
alice,bob,giver,B,bob,975
alice,bob,Terminal,B,bob,444
bob,alice,headphones,A,bob,839
bob,alice,giver,A,bob,631
alice,bob,memstore,B,bob,416
bob,alice,Terminal,A,bob,717
bob,alice,memstore,A,bob,346
alice,bob,box,B,bob,539
alice,bob,FourCorners,B,bob,604
bob,alice,FourCorners,A,bob,534
alice,bob,headphones,B,bob,1312
bob,alice,box,A,bob,1122
alice,bob,Oasis,B,bob,738
bob,alice,boxofchocolates,A,bob,1015
alice,bob,Parking_lot,B,bob,452
bob,alice,Oasis,A,bob,930
bob,alice,Brat,A,bob,551
alice,bob,Brat,A,alice,605
bob,alice,Parking_lot,A,bob,607
alice,bob,boxofchocolates,B,bob,1897
bob,alice,Thirds,A,bob,975
bob,alice,walalilongla,B,alice,519
alice,bob,BunnyGame,B,bob,563
bob,alice,BunnyGame,A,bob,472
alice,bob,Thirds,B,bob,1541
alice,bob,walalilongla,B,bob,1399
alice,bob,HungerGames,B,bob,561
bob,alice,HungerGames,A,bob,566
alice,bob,shell,B,bob,774
bob,alice,MoneyTower,A,bob,535
alice,bob,MoneyTower,B,bob,1273
bob,alice,PlumberGame,A,bob,425
bob,alice,shell,A,bob,1032
alice,bob,PlumberGame,B,bob,526
alice,bob,roads,B,bob,856
alice,bob,lighthouse,B,bob,2000
bob,alice,lighthouse,A,bob,2000
bob,alice,roads,A,bob,2000
bob,alice,DefaultLarge,A,bob,286
alice,bob,DefaultLarge,B,bob,761
alice,bob,sunrise,B,bob,1390
bob,alice,Restart,A,bob,436
alice,bob,Restart,B,bob,857
bob,alice,Dominoes,B,alice,636
alice,bob,Dominoes,B,bob,913
bob,alice,sunrise,A,bob,1359
alice,bob,TheBest,B,bob,460
bob,alice,UnderTheSea,A,bob,477
alice,bob,UnderTheSea,B,bob,535
alice,bob,Paintball,B,bob,266
bob,alice,BatSignal,A,bob,498
alice,bob,BatSignal,B,bob,982
bob,alice,TheBest,A,bob,661
bob,alice,Paintball,A,bob,684
alice,bob,Fossil,B,bob,509
bob,alice,Bunny,A,bob,660
bob,alice,Fossil,A,bob,697
alice,bob,Bunny,B,bob,1187
alice,bob,sierpinski,B,bob,612
alice,bob,Piglets2,B,bob,646
alice,bob,gridworld,B,bob,782
alice,bob,CastleDefense,B,bob,402
bob,alice,Piglets2,A,bob,1503
bob,alice,CastleDefense,A,bob,684
bob,alice,sierpinski,B,alice,1573
bob,alice,gridworld,A,bob,2000
alice,bob,rain,B,bob,392
bob,alice,rain,A,bob,527
bob,alice,Flower,A,bob,553
alice,bob,DefaultHuge,B,bob,498
bob,alice,DefaultHuge,A,bob,512
alice,bob,quack,B,bob,304
alice,bob,catface,B,bob,369
bob,alice,catface,A,bob,615
alice,bob,SandyBeach,A,alice,544
bob,alice,quack,A,bob,1443
bob,alice,SandyBeach,A,bob,1256
alice,bob,Portal,B,bob,955
alice,bob,Flower,B,bob,2000
bob,alice,Portal,A,bob,565
alice,bob,Bread,A,alice,828
bob,alice,Bread,A,bob,926
alice,bob,Racetrack,B,bob,484
bob,alice,UglySweater,A,bob,646
bob,alice,Racetrack,A,bob,731
alice,bob,AlarmClock,B,bob,393
alice,bob,gardenworld,B,bob,677
alice,bob,UglySweater,B,bob,1127
bob,alice,gardenworld,A,bob,906
alice,bob,Snowglobe,B,bob,376
bob,alice,AlarmClock,A,bob,1192
alice,bob,Gears,B,bob,690
bob,alice,Snowglobe,A,bob,353
alice,bob,Rose,A,alice,426
alice,bob,windmill,B,bob,481
bob,alice,Rose,A,bob,533
bob,alice,windmill,A,bob,600
bob,alice,Gears,A,bob,1051
alice,carol,sayhi,A,alice,554
alice,carol,Filter,B,carol,404
carol,alice,sayhi,B,alice,412
alice,bob,defensetower,B,bob,1104
alice,carol,Snowman,B,carol,620
carol,alice,Filter,A,carol,2000
carol,alice,Snowman,A,carol,1474
bob,alice,defensetower,A,bob,1423
alice,carol,Mirage,A,alice,604
carol,alice,yearofthesnake,B,alice,453
alice,carol,DefaultMedium,A,alice,559
carol,alice,DefaultMedium,B,alice,455
alice,carol,yearofthesnake,A,alice,1372
