team_a,team_b,map,winner_side,winner_bot,rounds
alice,bob,Circuit,B,bob,663
bob,alice,FourCorners,B,alice,233
alice,bob,FourCorners,A,alice,536
bob,alice,Circuit,A,bob,1199
alice,bob,TheBest,B,bob,481
alice,bob,UnderTheSea,B,bob,660
bob,alice,TheBest,A,bob,669
alice,bob,Filter,B,bob,956
bob,alice,Filter,B,alice,393
bob,alice,UnderTheSea,A,bob,747
alice,bob,rain,B,bob,869
bob,alice,rain,A,bob,793
alice,bob,CastleDefense,B,bob,1217
bob,alice,CastleDefense,A,bob,2000
bob,alice,Crab,A,bob,883
alice,bob,Crab,B,bob,1112
alice,bob,Parking_lot,B,bob,396
bob,alice,Parking_lot,A,bob,597
alice,bob,DefaultHuge,B,bob,742
bob,alice,DefaultHuge,A,bob,728
bob,alice,giver,A,bob,1363
alice,bob,giver,B,bob,1694
bob,alice,UglySweater,A,bob,455
bob,alice,Fossil,A,bob,927
alice,bob,Fossil,B,bob,2000
alice,bob,maze,A,alice,899
alice,bob,UglySweater,B,bob,2000
alice,bob,DefaultMedium,B,bob,436
bob,alice,DefaultMedium,A,bob,676
alice,bob,Piglets2,B,bob,896
alice,bob,windmill,B,bob,434
bob,alice,Piglets2,A,bob,1521
alice,bob,Thirds,A,alice,550
bob,alice,maze,B,alice,2000
bob,alice,windmill,A,bob,2000
bob,alice,DefaultLarge,A,bob,397
bob,alice,Thirds,A,bob,722
alice,bob,TargetPractice,B,bob,2000
bob,alice,TargetPractice,A,bob,1495
alice,bob,shell,B,bob,731
alice,bob,DefaultLarge,B,bob,1746
alice,bob,box,B,bob,747
bob,alice,box,B,alice,2000
alice,bob,Snowglobe,B,bob,407
bob,alice,shell,A,bob,2000
bob,alice,Snowglobe,A,bob,871
alice,bob,memstore,B,bob,468
alice,bob,sayhi,B,bob,2000
alice,bob,defensetower,A,alice,702
bob,alice,memstore,A,bob,552
bob,alice,sayhi,A,bob,2000
bob,alice,defensetower,B,alice,859
bob,alice,Bread,B,alice,560
alice,bob,Bread,B,bob,1892
alice,bob,SaltyPepper,B,bob,1537
bob,alice,SaltyPepper,A,bob,1834
alice,bob,starburst,B,bob,644
bob,alice,starburst,A,bob,1082
bob,alice,headphones,A,bob,1180
bob,alice,leavemealone,A,bob,701
alice,bob,leavemealone,B,bob,1093
alice,bob,headphones,A,alice,2000
alice,bob,roads,B,bob,1035
bob,alice,walalilongla,B,alice,579
bob,alice,roads,B,alice,2000
alice,bob,quack,B,bob,757
alice,bob,sierpinski,B,bob,536
alice,bob,walalilongla,B,bob,2000
bob,alice,quack,B,alice,2000
bob,alice,sierpinski,B,alice,1641
alice,bob,DefaultSmall,A,alice,281
bob,alice,Racetrack,A,bob,1598
alice,bob,Racetrack,B,bob,2000
bob,alice,DefaultSmall,B,alice,201
alice,bob,Dominoes,A,alice,390
alice,bob,mit,B,bob,2000
bob,alice,Dominoes,A,bob,1178
bob,alice,mit,A,bob,2000
bob,alice,galaxy,B,alice,524
bob,alice,Flower,A,bob,1017
alice,bob,galaxy,B,bob,2000
alice,bob,Flower,B,bob,2000
alice,bob,yearofthesnake,B,bob,2000
bob,alice,yearofthesnake,A,bob,1738
bob,alice,Justice,A,bob,840
alice,bob,SandyBeach,A,alice,226
alice,bob,Justice,B,bob,2000
bob,alice,SandyBeach,B,alice,392
bob,alice,gardenworld,B,alice,2000
alice,bob,gardenworld,B,bob,2000
alice,bob,Snowman,B,bob,1079
bob,alice,Snowman,A,bob,1593
alice,bob,Jail,B,bob,926
bob,alice,Jail,B,alice,334
bob,alice,Gears,A,bob,2000
alice,bob,Gears,B,bob,2000
alice,bob,catface,B,bob,511
bob,alice,catface,A,bob,1238
bob,alice,DonkeyKong,A,bob,760
alice,bob,DonkeyKong,B,bob,958
alice,bob,Paintball,B,bob,864
bob,alice,Paintball,A,bob,1738
bob,alice,SMILE,A,bob,1394
bob,alice,Restart,A,bob,495
alice,bob,Restart,B,bob,1044
alice,bob,Money,B,bob,753
alice,bob,SMILE,A,alice,2000
bob,alice,Money,A,bob,1352
bob,alice,fix,A,bob,293
alice,bob,fix,A,alice,1204
alice,bob,sunrise,A,alice,2000
alice,bob,AlarmClock,B,bob,1158
bob,alice,sunrise,A,bob,1915
bob,alice,AlarmClock,B,alice,2000
alice,bob,lighthouse,B,bob,2000
bob,alice,lighthouse,B,alice,2000
alice,bob,Mirage,B,bob,697
bob,alice,Mirage,A,bob,897
alice,bob,Portal,B,bob,1239
alice,bob,Barcode,A,alice,2000
bob,alice,Barcode,B,alice,2000
alice,bob,Castle,B,bob,840
bob,alice,Castle,A,bob,1134
bob,alice,Portal,B,alice,2000
alice,bob,Oasis,B,bob,946
bob,alice,Oasis,A,bob,1202
bob,alice,BatSignal,A,bob,648
alice,bob,boxofchocolates,A,alice,2000
alice,bob,BatSignal,A,alice,2000
alice,bob,Terminal,B,bob,616
bob,alice,boxofchocolates,A,bob,2000
alice,bob,HungerGames,B,bob,571
bob,alice,Terminal,A,bob,2000
bob,alice,HungerGames,A,bob,413
alice,bob,gridworld,B,bob,2000
bob,alice,gridworld,A,bob,2000
alice,bob,Leaf,B,bob,408
bob,alice,BunnyGame,A,bob,456
alice,bob,BunnyGame,B,bob,1155
bob,alice,MoneyTower,A,bob,510
bob,alice,PlumberGame,A,bob,640
alice,bob,MoneyTower,A,alice,2000
bob,alice,Bunny,B,alice,370
alice,bob,Rose,A,alice,365
alice,bob,PlumberGame,B,bob,1681
alice,bob,Brat,A,alice,265
bob,alice,Rose,A,bob,1020
alice,bob,Bunny,A,alice,2000
bob,alice,Brat,B,alice,252
alice,carol,FourCorners,A,alice,525
carol,alice,FourCorners,A,carol,282
carol,alice,Circuit,A,carol,1077
alice,carol,TheBest,A,alice,1134
alice,carol,Circuit,A,alice,2000
bob,alice,Leaf,A,bob,2000
carol,alice,UnderTheSea,A,carol,834
alice,carol,Filter,A,alice,846
carol,alice,Filter,A,carol,643
carol,alice,rain,B,alice,1308
alice,carol,rain,A,alice,1616
alice,carol,UnderTheSea,B,carol,2000
carol,alice,TheBest,B,alice,2000
alice,carol,CastleDefense,A,alice,739
carol,alice,CastleDefense,A,carol,1037
carol,alice,Crab,A,carol,2000
alice,carol,Crab,A,alice,2000
alice,carol,Parking_lot,A,alice,618
carol,alice,Parking_lot,B,alice,563
carol,alice,giver,B,alice,926
alice,carol,UglySweater,A,alice,378
carol,alice,UglySweater,B,alice,479
alice,carol,DefaultHuge,A,alice,2000
carol,alice,DefaultHuge,B,alice,2000
alice,carol,giver,A,alice,2000
alice,carol,Fossil,A,alice,1319
carol,alice,Fossil,A,carol,1665
alice,carol,DefaultMedium,A,alice,460
carol,alice,DefaultMedium,B,alice,407
alice,carol,maze,A,alice,961
carol,alice,Piglets2,B,alice,747
carol,alice,windmill,B,alice,1189
alice,carol,windmill,A,alice,2000
carol,alice,maze,B,alice,1568
alice,carol,Piglets2,A,alice,2000
alice,carol,Thirds,A,alice,592
alice,carol,DefaultLarge,A,alice,381
carol,alice,TargetPractice,A,carol,678
alice,carol,TargetPractice,B,carol,1288
carol,alice,DefaultLarge,B,alice,1536
carol,alice,shell,B,alice,490
alice,carol,shell,A,alice,1001
carol,alice,Thirds,B,alice,1738
carol,alice,sayhi,B,alice,635
alice,carol,box,A,alice,1601
carol,alice,box,B,alice,1575
alice,carol,memstore,A,alice,648
carol,alice,memstore,B,alice,483
carol,alice,Snowglobe,B,alice,880
alice,carol,defensetower,A,alice,507
carol,alice,defensetower,B,alice,569
alice,carol,Snowglobe,A,alice,1364
alice,carol,sayhi,A,alice,2000
alice,carol,SaltyPepper,A,alice,461
carol,alice,SaltyPepper,B,alice,426
carol,alice,Bread,A,carol,1444
alice,carol,Bread,A,alice,2000
alice,carol,headphones,A,alice,525
carol,alice,headphones,B,alice,686
carol,alice,starburst,A,carol,1132
alice,carol,starburst,A,alice,2000
alice,carol,roads,B,carol,1219
carol,alice,roads,B,alice,1411
alice,carol,walalilongla,A,alice,544
alice,carol,leavemealone,B,carol,1708
carol,alice,walalilongla,B,alice,983
carol,alice,leavemealone,B,alice,2000
carol,alice,sierpinski,B,alice,454
carol,alice,quack,B,alice,2000
alice,carol,quack,B,carol,2000
alice,carol,DefaultSmall,B,carol,232
carol,alice,DefaultSmall,A,carol,573
alice,carol,Racetrack,A,alice,1646
alice,carol,sierpinski,A,alice,2000
carol,alice,Racetrack,B,alice,2000
alice,carol,mit,A,alice,1400
alice,carol,galaxy,A,alice,602
carol,alice,Dominoes,B,alice,2000
carol,alice,galaxy,B,alice,448
alice,carol,Dominoes,B,carol,2000
carol,alice,mit,A,carol,2000
carol,alice,Flower,B,alice,1116
carol,alice,yearofthesnake,B,alice,761
alice,carol,Flower,A,alice,2000
alice,carol,Justice,A,alice,2000
alice,carol,yearofthesnake,A,alice,2000
carol,alice,Justice,A,carol,1388
alice,carol,SandyBeach,A,alice,404
carol,alice,SandyBeach,A,carol,2000
alice,carol,gardenworld,B,carol,2000
alice,carol,Gears,A,alice,1616
alice,carol,Snowman,B,carol,754
carol,alice,gardenworld,A,carol,2000
carol,alice,Snowman,A,carol,452
carol,alice,Jail,B,alice,276
alice,carol,Jail,B,carol,1666
carol,alice,Gears,B,alice,2000
alice,carol,catface,B,carol,901
carol,alice,catface,A,carol,653
alice,carol,DonkeyKong,A,alice,2000
carol,alice,DonkeyKong,B,alice,2000
alice,carol,Paintball,B,carol,162
carol,alice,SMILE,B,alice,2000
alice,carol,SMILE,A,alice,2000
carol,alice,Paintball,B,alice,1856
alice,carol,Restart,A,alice,1223
alice,carol,Money,A,alice,2000
carol,alice,Money,B,alice,2000
carol,alice,Restart,A,carol,2000
alice,carol,sunrise,A,alice,599
carol,alice,fix,A,carol,464
carol,alice,sunrise,B,alice,703
alice,carol,fix,A,alice,901
alice,carol,AlarmClock,A,alice,853
carol,alice,lighthouse,B,alice,705
carol,alice,AlarmClock,B,alice,1238
alice,carol,Mirage,A,alice,530
carol,alice,Mirage,A,carol,881
alice,carol,lighthouse,B,carol,2000
carol,alice,Barcode,B,alice,543
alice,carol,Barcode,A,alice,1071
alice,carol,Castle,B,carol,2000
alice,carol,Portal,A,alice,2000
carol,alice,Portal,B,alice,2000
carol,alice,Castle,B,alice,2000
carol,alice,Oasis,B,alice,1043
alice,carol,Oasis,A,alice,1468
alice,carol,boxofchocolates,A,alice,2000
alice,carol,BatSignal,B,carol,2000
carol,alice,BatSignal,A,carol,2000
carol,alice,boxofchocolates,B,alice,2000
alice,carol,gridworld,B,carol,226
alice,carol,Terminal,B,carol,1252
carol,alice,gridworld,A,carol,535
carol,alice,Terminal,A,carol,2000
alice,carol,HungerGames,A,alice,2000
carol,alice,HungerGames,B,alice,2000
alice,carol,BunnyGame,B,carol,1397
carol,alice,BunnyGame,B,alice,1516
alice,carol,Leaf,B,carol,2000
carol,alice,Leaf,B,alice,2000
alice,carol,PlumberGame,B,carol,661
alice,carol,MoneyTower,B,carol,1473
carol,alice,MoneyTower,A,carol,1283
carol,alice,Bunny,B,alice,497
carol,alice,PlumberGame,A,carol,847
alice,carol,Rose,A,alice,375
carol,alice,Rose,B,alice,334
alice,carol,Bunny,B,carol,2000
alice,carol,Brat,A,alice,1094
carol,alice,Brat,B,alice,998
carol,bob,Circuit,A,carol,1368
bob,carol,FourCorners,A,bob,1863
carol,bob,FourCorners,A,carol,344
bob,carol,Circuit,B,carol,2000
bob,carol,TheBest,A,bob,607
carol,bob,TheBest,B,bob,616
bob,carol,Filter,B,carol,220
carol,bob,Filter,A,carol,299
bob,carol,UnderTheSea,A,bob,909
bob,carol,rain,A,bob,990
carol,bob,rain,B,bob,723
bob,carol,CastleDefense,B,carol,831
carol,bob,CastleDefense,A,carol,165
carol,bob,Crab,B,bob,619
carol,bob,UnderTheSea,B,bob,2000
bob,carol,DefaultHuge,A,bob,769
bob,carol,Crab,B,carol,2000
carol,bob,Parking_lot,B,bob,509
bob,carol,Parking_lot,A,bob,506
bob,carol,UglySweater,A,bob,537
carol,bob,DefaultHuge,B,bob,892
carol,bob,giver,B,bob,1576
bob,carol,giver,B,carol,2000
carol,bob,UglySweater,B,bob,617
bob,carol,Fossil,A,bob,835
carol,bob,Fossil,A,carol,1265
bob,carol,DefaultMedium,A,bob,590
carol,bob,DefaultMedium,B,bob,659
bob,carol,maze,A,bob,1792
carol,bob,maze,B,bob,2000
bob,carol,Piglets2,B,carol,1308
bob,carol,windmill,A,bob,1261
carol,bob,Piglets2,B,bob,845
carol,bob,windmill,A,carol,1629
carol,bob,Thirds,A,carol,856
bob,carol,DefaultLarge,A,bob,340
bob,carol,TargetPractice,B,carol,700
carol,bob,DefaultLarge,B,bob,665
carol,bob,TargetPractice,A,carol,663
bob,carol,Thirds,B,carol,1718
bob,carol,shell,A,bob,845
carol,bob,shell,B,bob,553
bob,carol,box,B,carol,1067
bob,carol,sayhi,A,bob,525
carol,bob,box,B,bob,1642
carol,bob,sayhi,B,bob,1009
carol,bob,Snowglobe,B,bob,497
bob,carol,Snowglobe,A,bob,682
carol,bob,memstore,B,bob,417
bob,carol,defensetower,A,bob,1201
carol,bob,defensetower,B,bob,880
bob,carol,memstore,A,bob,1265
carol,bob,Bread,A,carol,324
bob,carol,Bread,B,carol,1526
carol,bob,SaltyPepper,B,bob,372
bob,carol,SaltyPepper,A,bob,484
bob,carol,headphones,A,bob,664
carol,bob,starburst,A,carol,204
carol,bob,headphones,B,bob,642
bob,carol,starburst,A,bob,1726
bob,carol,leavemealone,B,carol,1280
bob,carol,roads,B,carol,2000
carol,bob,roads,B,bob,1232
carol,bob,leavemealone,B,bob,2000
bob,carol,walalilongla,A,bob,936
carol,bob,walalilongla,A,carol,1098
carol,bob,quack,B,bob,928
bob,carol,quack,B,carol,1981
bob,carol,sierpinski,A,bob,1474
bob,carol,Racetrack,A,bob,637
carol,bob,sierpinski,B,bob,688
carol,bob,Racetrack,B,bob,574
carol,bob,DefaultSmall,A,carol,172
bob,carol,DefaultSmall,B,carol,444
bob,carol,mit,A,bob,1323
carol,bob,Dominoes,B,bob,1077
bob,carol,Dominoes,A,bob,1409
carol,bob,mit,A,carol,1271
bob,carol,galaxy,A,bob,2000
carol,bob,galaxy,B,bob,2000
bob,carol,Flower,A,bob,701
bob,carol,yearofthesnake,A,bob,569
carol,bob,Flower,B,bob,1588
carol,bob,yearofthesnake,B,bob,565
bob,carol,Justice,B,carol,1543
carol,bob,Justice,A,carol,888
bob,carol,SandyBeach,A,bob,1706
carol,bob,SandyBeach,B,bob,1120
bob,carol,gardenworld,A,bob,1407
carol,bob,gardenworld,A,carol,1643
bob,carol,Snowman,B,carol,294
bob,carol,Gears,A,bob,1906
carol,bob,Gears,B,bob,1080
carol,bob,Snowman,B,bob,1334
carol,bob,Jail,A,carol,1208
bob,carol,Jail,B,carol,1399
bob,carol,catface,B,carol,302
bob,carol,DonkeyKong,A,bob,817
carol,bob,catface,A,carol,439
carol,bob,DonkeyKong,B,bob,470
bob,carol,Paintball,B,carol,541
carol,bob,Paintball,A,carol,952
bob,carol,SMILE,A,bob,2000
bob,carol,Restart,A,bob,620
carol,bob,SMILE,B,bob,1885
bob,carol,Money,A,bob,946
carol,bob,Restart,B,bob,942
carol,bob,Money,B,bob,733
bob,carol,fix,A,bob,445
bob,carol,sunrise,A,bob,1714
carol,bob,fix,B,bob,392
carol,bob,sunrise,B,bob,1839
bob,carol,AlarmClock,B,carol,594
carol,bob,AlarmClock,B,bob,611
carol,bob,lighthouse,B,bob,2000
bob,carol,lighthouse,B,carol,2000
carol,bob,Mirage,A,carol,1302
bob,carol,Mirage,A,bob,1258
bob,carol,Barcode,A,bob,698
carol,bob,Barcode,A,carol,1256
bob,carol,Portal,A,bob,924
bob,carol,Castle,A,bob,430
carol,bob,Portal,B,bob,1172
carol,bob,Castle,B,bob,975
bob,carol,Oasis,A,bob,886
carol,bob,Oasis,B,bob,890
bob,carol,boxofchocolates,B,carol,2000
carol,bob,BatSignal,B,bob,1150
carol,bob,boxofchocolates,B,bob,2000
bob,carol,BatSignal,A,bob,2000
bob,carol,Terminal,B,carol,1616
carol,bob,gridworld,A,carol,861
carol,bob,Terminal,A,carol,1419
bob,carol,gridworld,B,carol,1287
bob,carol,HungerGames,A,bob,709
carol,bob,HungerGames,B,bob,807
bob,carol,BunnyGame,A,bob,963
carol,bob,Leaf,B,bob,792
bob,carol,Leaf,A,bob,1193
bob,carol,MoneyTower,A,bob,730
carol,bob,BunnyGame,B,bob,1390
carol,bob,MoneyTower,A,carol,1076
bob,carol,PlumberGame,A,bob,1166
carol,bob,PlumberGame,A,carol,801
bob,carol,Bunny,A,bob,1215
carol,bob,Bunny,B,bob,965
bob,carol,Brat,B,carol,1207
carol,bob,Rose,B,bob,1644
bob,carol,Rose,A,bob,1274
carol,bob,Brat,A,carol,1056
