team_a,team_b,map,winner_side,winner_bot,rounds
alice,bob,Barcode,A,alice,495
alice,bob,gridworld,B,bob,2000
bob,alice,gridworld,B,alice,2000
bob,alice,Barcode,B,alice,1522
alice,bob,Dominoes,A,alice,254
bob,alice,Dominoes,B,alice,505
bob,alice,box,B,alice,970
alice,bob,box,B,bob,1949
alice,bob,rain,B,bob,420
bob,alice,rain,A,bob,1564
bob,alice,Fossil,A,bob,740
alice,bob,Fossil,A,alice,2000
alice,bob,gardenworld,A,alice,1568
bob,alice,gardenworld,A,bob,1124
alice,bob,maze,A,alice,893
bob,alice,defensetower,B,alice,585
bob,alice,maze,B,alice,1441
alice,bob,UglySweater,A,alice,346
alice,bob,defensetower,B,bob,2000
bob,alice,UglySweater,A,bob,546
alice,bob,Snowman,A,alice,545
bob,alice,Snowman,B,alice,598
bob,alice,Jail,B,alice,236
alice,bob,Jail,A,alice,288
alice,bob,Oasis,B,bob,715
bob,alice,Oasis,A,bob,1378
bob,alice,Gears,B,alice,877
alice,bob,Piglets2,B,bob,1250
bob,alice,Piglets2,B,alice,792
alice,bob,Gears,A,alice,2000
alice,bob,Rose,A,alice,267
bob,alice,galaxy,B,alice,1056
alice,bob,galaxy,A,alice,2000
alice,bob,MoneyTower,B,bob,1044
bob,alice,Rose,B,alice,2000
bob,alice,MoneyTower,A,bob,579
alice,bob,AlarmClock,B,bob,543
bob,alice,AlarmClock,B,alice,999
alice,bob,CastleDefense,B,bob,241
alice,bob,Brat,A,alice,325
bob,alice,CastleDefense,A,bob,703
bob,alice,Brat,B,alice,730
alice,bob,Terminal,B,bob,594
alice,bob,DefaultMedium,B,bob,1506
bob,alice,DefaultMedium,A,bob,2000
bob,alice,Terminal,B,alice,309
bob,alice,yearofthesnake,B,alice,800
alice,bob,starburst,B,bob,654
bob,alice,starburst,A,bob,851
alice,bob,yearofthesnake,A,alice,2000
bob,alice,Mirage,A,bob,582
alice,bob,Mirage,B,bob,1137
alice,bob,Crab,A,alice,1133
bob,alice,Crab,B,alice,2000
alice,bob,BunnyGame,B,bob,1062
alice,bob,catface,B,bob,423
bob,alice,catface,B,alice,432
alice,bob,Circuit,B,bob,679
bob,alice,BunnyGame,A,bob,2000
bob,alice,Circuit,B,alice,1891
alice,bob,DonkeyKong,B,bob,915
alice,bob,UnderTheSea,B,bob,630
bob,alice,UnderTheSea,A,bob,530
bob,alice,BatSignal,A,bob,614
alice,bob,Castle,A,alice,259
alice,bob,BatSignal,B,bob,2000
bob,alice,Castle,A,bob,480
bob,alice,walalilongla,B,alice,293
bob,alice,DonkeyKong,A,bob,2000
bob,alice,TargetPractice,A,bob,685
alice,bob,TargetPractice,A,alice,585
alice,bob,Bread,A,alice,372
bob,alice,Bread,B,alice,632
alice,bob,walalilongla,A,alice,2000
bob,alice,fix,A,bob,310
alice,bob,fix,A,alice,998
alice,bob,roads,B,bob,1100
bob,alice,roads,B,alice,952
alice,bob,SaltyPepper,B,bob,569
alice,bob,sierpinski,B,bob,695
bob,alice,sierpinski,B,alice,883
alice,bob,SandyBeach,A,alice,201
bob,alice,SandyBeach,B,alice,316
bob,alice,SaltyPepper,B,alice,2000
bob,alice,Portal,B,alice,1661
alice,bob,Racetrack,B,bob,1763
alice,bob,Portal,A,alice,2000
bob,alice,Racetrack,A,bob,1184
alice,bob,Paintball,B,bob,286
bob,alice,Paintball,A,bob,615
bob,alice,Bunny,B,alice,416
alice,bob,Bunny,A,alice,552
bob,alice,sunrise,A,bob,908
alice,bob,windmill,B,bob,578
bob,alice,windmill,B,alice,570
alice,bob,sunrise,A,alice,1816
bob,alice,boxofchocolates,B,alice,1813
alice,bob,boxofchocolates,A,alice,2000
alice,bob,shell,B,bob,561
alice,bob,Parking_lot,B,bob,2000
bob,alice,Parking_lot,B,alice,1159
alice,bob,Leaf,B,bob,458
bob,alice,shell,B,alice,941
bob,alice,DefaultLarge,A,bob,408
alice,bob,DefaultLarge,B,bob,1464
bob,alice,memstore,A,bob,852
alice,bob,memstore,B,bob,2000
bob,alice,Leaf,B,alice,2000
alice,bob,HungerGames,B,bob,851
alice,bob,giver,A,alice,376
alice,bob,SMILE,A,alice,2000
bob,alice,HungerGames,A,bob,699
bob,alice,SMILE,A,bob,2000
alice,bob,DefaultSmall,A,alice,197
alice,bob,Snowglobe,B,bob,495
bob,alice,DefaultSmall,B,alice,168
bob,alice,Snowglobe,A,bob,989
alice,bob,Thirds,A,alice,559
bob,alice,giver,A,bob,1348
bob,alice,Thirds,A,bob,902
bob,alice,DefaultHuge,A,bob,519
alice,bob,DefaultHuge,B,bob,574
alice,bob,lighthouse,A,alice,2000
bob,alice,lighthouse,B,alice,2000
bob,alice,Money,A,bob,1696
alice,bob,Money,B,bob,2000
alice,bob,TheBest,B,bob,696
bob,alice,PlumberGame,A,bob,520
alice,bob,quack,B,bob,609
alice,bob,PlumberGame,B,bob,921
bob,alice,TheBest,A,bob,989
bob,alice,quack,B,alice,1324
alice,bob,mit,A,alice,1396
bob,alice,Justice,A,bob,668
bob,alice,mit,A,bob,1739
alice,bob,Justice,A,alice,1978
alice,bob,sayhi,A,alice,2000
bob,alice,Flower,B,alice,803
alice,bob,Flower,A,alice,2000
bob,alice,sayhi,B,alice,2000
bob,alice,Restart,A,bob,432
bob,alice,Filter,B,alice,1015
alice,bob,Filter,A,alice,1071
alice,bob,FourCorners,A,alice,422
bob,alice,FourCorners,B,alice,452
alice,bob,Restart,B,bob,1232
bob,alice,leavemealone,A,bob,1100
alice,bob,leavemealone,A,alice,1134
alice,carol,gridworld,B,carol,327
carol,alice,gridworld,A,carol,287
carol,alice,Barcode,B,alice,381
alice,bob,headphones,B,bob,1511
alice,carol,Barcode,A,alice,1727
bob,alice,headphones,A,bob,1619
alice,carol,Dominoes,A,alice,811
carol,alice,Dominoes,A,carol,1145
alice,carol,box,B,carol,769
carol,alice,box,A,carol,365
alice,carol,rain,B,carol,501
carol,alice,rain,A,carol,272
alice,carol,Fossil,A,alice,762
carol,alice,Fossil,A,carol,535
alice,carol,gardenworld,B,carol,902
