team_a,team_b,map,winner_side,winner_bot,rounds
alice,bob,rain,A,alice,638
bob,alice,rain,A,bob,1586
alice,bob,sayhi,A,alice,2000
alice,bob,TheBest,B,bob,547
bob,alice,sayhi,B,alice,2000
alice,bob,Brat,A,alice,502
bob,alice,Brat,B,alice,1147
alice,bob,Bunny,A,alice,1099
bob,alice,Bunny,A,bob,1049
bob,alice,TheBest,B,alice,1338
alice,bob,memstore,A,alice,369
alice,bob,starburst,B,bob,355
bob,alice,memstore,A,bob,537
bob,alice,starburst,B,alice,430
bob,alice,Oasis,B,alice,545
alice,bob,Oasis,A,alice,1595
alice,bob,BatSignal,A,alice,1116
bob,alice,BatSignal,A,bob,784
alice,bob,DefaultMedium,A,alice,1348
bob,alice,DefaultMedium,B,alice,994
bob,alice,walalilongla,B,alice,286
alice,bob,walalilongla,A,alice,1586
alice,bob,fix,A,alice,484
bob,alice,fix,A,bob,530
alice,bob,Bread,A,alice,293
bob,alice,Bread,B,alice,514
alice,bob,CastleDefense,B,bob,785
alice,bob,Leaf,A,alice,2000
bob,alice,CastleDefense,B,alice,623
bob,alice,Leaf,B,alice,1968
alice,bob,Snowman,A,alice,176
bob,alice,Snowman,A,bob,2000
alice,bob,Circuit,B,bob,986
bob,alice,Circuit,B,alice,1029
alice,bob,Barcode,A,alice,310
alice,bob,Terminal,B,bob,723
bob,alice,Barcode,A,bob,2000
bob,alice,Terminal,B,alice,886
alice,bob,Gears,B,bob,2000
bob,alice,shell,B,alice,1254
bob,alice,Gears,A,bob,2000
alice,bob,shell,A,alice,1799
bob,alice,Mirage,A,bob,532
alice,bob,FourCorners,A,alice,644
bob,alice,FourCorners,B,alice,333
alice,bob,Mirage,A,alice,1146
bob,alice,BunnyGame,B,alice,864
alice,bob,BunnyGame,B,bob,1649
alice,bob,catface,B,bob,420
bob,alice,Restart,A,bob,595
bob,alice,catface,B,alice,574
alice,bob,Fossil,A,alice,674
alice,bob,Restart,B,bob,1756
alice,bob,Rose,A,alice,358
bob,alice,Rose,A,bob,590
bob,alice,Fossil,B,alice,2000
alice,bob,AlarmClock,B,bob,461
bob,alice,AlarmClock,B,alice,802
alice,bob,Castle,A,alice,243
bob,alice,Castle,A,bob,1032
bob,alice,PlumberGame,A,bob,465
alice,bob,PlumberGame,B,bob,1427
bob,alice,DonkeyKong,A,bob,2000
alice,bob,DonkeyKong,B,bob,2000
alice,bob,defensetower,A,alice,517
bob,alice,defensetower,B,alice,914
alice,bob,Parking_lot,A,alice,670
alice,bob,UnderTheSea,B,bob,1497
bob,alice,UnderTheSea,B,alice,1051
bob,alice,box,B,alice,464
alice,bob,Paintball,B,bob,942
bob,alice,Parking_lot,B,alice,2000
alice,bob,box,B,bob,2000
bob,alice,Paintball,B,alice,420
alice,bob,quack,B,bob,788
bob,alice,quack,B,alice,915
bob,alice,yearofthesnake,B,alice,596
alice,bob,yearofthesnake,B,bob,1603
alice,bob,leavemealone,A,alice,1015
bob,alice,leavemealone,B,alice,924
alice,bob,gardenworld,A,alice,1073
alice,bob,windmill,B,bob,640
bob,alice,windmill,A,bob,746
alice,bob,giver,B,bob,1069
alice,bob,Crab,B,bob,667
bob,alice,gardenworld,B,alice,2000
bob,alice,giver,A,bob,1206
alice,bob,Justice,A,alice,964
bob,alice,Justice,A,bob,636
bob,alice,Crab,A,bob,740
alice,bob,Money,B,bob,425
bob,alice,Money,A,bob,570
alice,bob,roads,A,alice,591
bob,alice,HungerGames,A,bob,564
alice,bob,HungerGames,B,bob,931
bob,alice,roads,B,alice,822
alice,bob,maze,A,alice,918
alice,bob,Snowglobe,B,bob,627
bob,alice,Snowglobe,B,alice,1161
bob,alice,maze,B,alice,2000
alice,bob,lighthouse,A,alice,2000
bob,alice,lighthouse,B,alice,1236
alice,bob,Piglets2,B,bob,1003
bob,alice,Piglets2,B,alice,1282
alice,bob,gridworld,A,alice,2000
bob,alice,gridworld,A,bob,2000
alice,bob,DefaultLarge,B,bob,609
alice,bob,headphones,B,bob,1057
bob,alice,DefaultLarge,A,bob,642
alice,bob,Portal,A,alice,963
bob,alice,Portal,B,alice,816
bob,alice,headphones,A,bob,2000
bob,alice,UglySweater,A,bob,658
alice,bob,UglySweater,A,alice,814
bob,alice,Dominoes,B,alice,313
alice,bob,Dominoes,A,alice,779
bob,alice,SMILE,B,alice,676
alice,bob,SandyBeach,A,alice,399
bob,alice,SandyBeach,B,alice,307
alice,bob,Racetrack,B,bob,532
bob,alice,Racetrack,A,bob,328
bob,alice,galaxy,B,alice,369
alice,bob,galaxy,B,bob,844
bob,alice,sunrise,B,alice,866
alice,bob,DefaultSmall,A,alice,213
bob,alice,DefaultSmall,B,alice,264
