team_a,team_b,map,winner_side,winner_bot,rounds
bob,alice,quack,B,alice,597
bob,alice,Piglets2,B,alice,750
alice,bob,quack,B,bob,714
alice,bob,FourCorners,A,alice,179
bob,alice,FourCorners,B,alice,249
alice,bob,Piglets2,B,bob,890
bob,alice,Parking_lot,B,alice,586
alice,bob,CastleDefense,A,alice,501
alice,bob,Rose,A,alice,354
bob,alice,CastleDefense,B,alice,511
alice,bob,Parking_lot,A,alice,918
alice,bob,AlarmClock,B,bob,460
bob,alice,Circuit,B,alice,1213
alice,bob,Circuit,B,bob,1039
bob,alice,Rose,A,bob,1343
bob,alice,Racetrack,A,bob,352
alice,bob,Racetrack,B,bob,535
bob,alice,AlarmClock,B,alice,1136
bob,alice,windmill,A,bob,748
alice,bob,Castle,A,alice,263
alice,bob,windmill,B,bob,1320
bob,alice,Mirage,A,bob,523
bob,alice,Castle,A,bob,1048
bob,alice,Oasis,B,alice,844
alice,bob,sierpinski,A,alice,1034
bob,alice,sierpinski,A,bob,539
alice,bob,Mirage,A,alice,1886
alice,bob,Jail,A,alice,335
alice,bob,Bread,A,alice,357
bob,alice,Jail,B,alice,682
bob,alice,Bread,B,alice,539
bob,alice,walalilongla,B,alice,282
bob,alice,box,B,alice,457
alice,bob,Oasis,A,alice,1561
alice,bob,box,A,alice,868
alice,bob,walalilongla,A,alice,1355
alice,bob,gardenworld,A,alice,1015
alice,bob,catface,B,bob,508
bob,alice,catface,B,alice,663
alice,bob,maze,A,alice,745
bob,alice,gardenworld,A,bob,2000
alice,bob,starburst,B,bob,367
bob,alice,starburst,B,alice,456
bob,alice,DonkeyKong,B,alice,2000
alice,bob,Flower,B,bob,2000
alice,bob,DonkeyKong,A,alice,2000
bob,alice,maze,B,alice,2000
bob,alice,Flower,B,alice,1273
alice,bob,sayhi,A,alice,2000
alice,bob,fix,A,alice,666
bob,alice,fix,A,bob,528
bob,alice,sayhi,B,alice,2000
bob,alice,headphones,B,alice,1627
bob,alice,leavemealone,B,alice,876
alice,bob,Thirds,A,alice,492
alice,bob,DefaultSmall,A,alice,428
bob,alice,DefaultSmall,B,alice,242
alice,bob,leavemealone,B,bob,2000
alice,bob,Portal,A,alice,893
bob,alice,Thirds,B,alice,1335
bob,alice,Portal,B,alice,898
alice,bob,defensetower,A,alice,587
alice,bob,DefaultMedium,A,alice,1053
alice,bob,headphones,B,bob,2000
bob,alice,defensetower,B,alice,910
bob,alice,DefaultMedium,A,bob,1460
alice,bob,DefaultLarge,B,bob,547
bob,alice,DefaultLarge,A,bob,955
bob,alice,DefaultHuge,A,bob,521
bob,alice,Paintball,B,alice,217
alice,bob,Paintball,A,alice,2000
alice,bob,UglySweater,A,alice,1046
bob,alice,boxofchocolates,B,alice,1511
alice,bob,boxofchocolates,B,bob,2000
bob,alice,UglySweater,A,bob,723
alice,bob,DefaultHuge,A,alice,2000
alice,bob,Gears,B,bob,1469
bob,alice,Restart,A,bob,578
alice,bob,Barcode,A,alice,418
bob,alice,Gears,B,alice,2000
alice,bob,roads,A,alice,607
bob,alice,roads,B,alice,568
bob,alice,sunrise,B,alice,856
bob,alice,Barcode,B,alice,2000
alice,bob,Restart,A,alice,2000
bob,alice,BunnyGame,B,alice,358
alice,bob,BunnyGame,B,bob,1403
alice,bob,TheBest,B,bob,538
alice,bob,mit,A,alice,1000
alice,bob,memstore,A,alice,645
alice,bob,sunrise,A,alice,2000
bob,alice,mit,B,alice,1058
bob,alice,memstore,A,bob,489
alice,bob,SMILE,A,alice,639
bob,alice,TheBest,B,alice,1206
bob,alice,SMILE,B,alice,1030
bob,alice,PlumberGame,A,bob,1079
alice,bob,PlumberGame,B,bob,1292
alice,bob,BatSignal,A,alice,918
bob,alice,BatSignal,B,alice,2000
bob,alice,SaltyPepper,A,bob,625
alice,bob,Terminal,B,bob,1512
alice,bob,SaltyPepper,B,bob,2000
alice,bob,Filter,A,alice,588
bob,alice,Terminal,B,alice,773
bob,alice,Filter,B,alice,324
bob,alice,shell,B,alice,1133
alice,bob,Leaf,A,alice,2000
bob,alice,Leaf,B,alice,1946
alice,bob,shell,A,alice,1547
bob,alice,yearofthesnake,B,alice,527
bob,alice,HungerGames,A,bob,621
alice,bob,HungerGames,B,bob,858
alice,bob,Snowglobe,B,bob,687
alice,bob,yearofthesnake,A,alice,2000
bob,alice,Dominoes,B,alice,378
alice,bob,Dominoes,A,alice,622
alice,bob,MoneyTower,A,alice,785
bob,alice,MoneyTower,A,bob,609
bob,alice,Snowglobe,B,alice,883
alice,bob,Crab,B,bob,642
alice,bob,Brat,A,alice,422
bob,alice,Crab,A,bob,1027
bob,alice,Brat,B,alice,947
bob,alice,SandyBeach,B,alice,307
alice,bob,SandyBeach,A,alice,536
bob,alice,UnderTheSea,B,alice,1227
alice,bob,rain,A,alice,560
bob,alice,rain,B,alice,548
